SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MPG,GAMES,MIN_TOTAL,FIRST_GAME,LAST_GAME,OFFRTG_AVG,DEFRTG_AVG,NETRTG_AVG,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,sp_work_OFF_RATING,sp_work_DEF_RATING,sp_work_NET_RATING,PIE_AVG,USG_PCT_AVG
2025-26,Ace Bailey,UTA,1642846,10,19.311,10,193.1,2025-10-22T00:00:00,2025-11-10T00:00:00,97.53780425,124.0954946,-26.55769032,97.28777835,123.372087,-26.08430865,97.53780425,124.0954946,-26.55769032,0.037634386,0.17717245
2025-26,Asa Newell,ATL,1642854,5,11.56666667,5,57.9,2025-10-24T00:00:00,2025-11-08T00:00:00,105.5949914,97.55837651,8.036614853,107.162867,98.59775475,8.565112263,105.5949914,97.55837651,8.036614853,0.139314335,0.212105354
2025-26,Ben Saraf,BKN,1642879,6,15.73611111,6,94.5,2025-10-22T00:00:00,2025-11-03T00:00:00,123.0351323,136.3296296,-13.29449735,119.5207407,129.9471958,-10.42645503,123.0351323,136.3296296,-13.29449735,0.014337566,0.169005291
2025-26,Cedric Coward,MEM,1642907,11,26.67969697,10,264.5,2025-10-22T00:00:00,2025-11-07T00:00:00,113.8097543,109.5580718,4.25168242,112.5891871,109.2183743,3.370812854,113.8097543,109.5580718,4.25168242,0.143517958,0.181217391
2025-26,Collin Murray-Boyles,TOR,1642867,8,20.93458333,8,167.6,2025-10-26T00:00:00,2025-11-08T00:00:00,103.0522076,111.6461217,-8.593914081,102.3078162,112.7937947,-10.48597852,103.0522076,111.6461217,-8.593914081,0.068702267,0.186723747
2025-26,Cooper Flagg,DAL,1642843,11,32.68378788,10,324.8,2025-10-22T00:00:00,2025-11-08T00:00:00,99.15945197,112.0037254,-12.8442734,98.73442118,111.143319,-12.40889778,99.15945197,112.0037254,-12.8442734,0.095359914,0.207374384
2025-26,Derik Queen,NOP,1642852,10,19.8255,10,198.3,2025-10-22T00:00:00,2025-11-10T00:00:00,111.6983359,112.524357,-0.82602118,109.0257186,114.1355018,-5.109783157,111.6983359,112.524357,-0.82602118,0.10213414,0.227613212
2025-26,Dylan Harper,SAS,1642844,6,23.36194444,6,140.1,2025-10-22T00:00:00,2025-11-02T00:00:00,125.2749465,108.2995717,16.97537473,125.0898644,105.9470378,19.14282655,125.2749465,108.2995717,16.97537473,0.120254818,0.238164882
2025-26,Egor Dëmin,BKN,1642856,9,20.06222222,9,180.7,2025-10-22T00:00:00,2025-11-09T00:00:00,106.6980077,124.1153846,-17.41737687,104.5953514,124.655451,-20.06009961,106.6980077,124.1153846,-17.41737687,0.072371334,0.153451024
2025-26,Hugo González,BOS,1642864,9,13.61166667,9,122.7,2025-10-24T00:00:00,2025-11-09T00:00:00,115.693154,103.9814181,11.71173594,114.1828036,104.7260799,9.456723716,115.693154,103.9814181,11.71173594,0.054106764,0.107644662
2025-26,Javon Small,MEM,1642914,8,12.35375,8,98.8,2025-10-22T00:00:00,2025-11-07T00:00:00,112.6241903,111.5438259,1.080364372,111.551417,111.1209514,0.430465587,112.6241903,111.5438259,1.080364372,0.066204453,0.162362348
2025-26,Jeremiah Fears,NOP,1642847,10,26.3645,10,263.7,2025-10-22T00:00:00,2025-11-10T00:00:00,104.1858551,122.6953356,-18.50948047,103.5431551,122.632992,-19.08983694,104.1858551,122.6953356,-18.50948047,0.074311339,0.25215548
2025-26,Kon Knueppel,CHA,1642851,10,32.1615,10,321.6,2025-10-22T00:00:00,2025-11-10T00:00:00,114.369745,114.6814988,-0.311753731,113.3012749,114.4464863,-1.145211443,114.369745,114.6814988,-0.311753731,0.100749378,0.197335821
2025-26,Liam McNeeley,CHA,1642862,8,12.55854167,8,100.5,2025-10-26T00:00:00,2025-11-10T00:00:00,107.5435821,113.599403,-6.055820896,107.5697512,116.2032836,-8.633532338,107.5435821,113.599403,-6.055820896,0.035482587,0.145501493
