SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MPG,GAMES,MIN_TOTAL,FIRST_GAME,LAST_GAME,OFFRTG_AVG,DEFRTG_AVG,NETRTG_AVG,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,sp_work_OFF_RATING,sp_work_DEF_RATING,sp_work_NET_RATING,PIE_AVG,USG_PCT_AVG
2017-18,Abdel Nader,BOS,1627846,48,10.865138888888895,10,63.6,2017-10-18T00:00:00,2017-11-24T00:00:00,95.67028301886792,118.37484276729559,-22.70455974842767,96.28836477987421,119.75267295597483,-23.464308176100616,95.67028301886792,118.37484276729559,-22.70455974842767,0.017300314465408806,0.148625786163522
2017-18,Alex Caruso,LAL,1627936,37,15.186756756756756,10,88.2,2017-10-19T00:00:00,2018-01-01T00:00:00,100.28616780045351,108.08492063492064,-7.798752834467123,100.51394557823129,111.91927437641723,-11.405328798185948,100.28616780045351,108.08492063492064,-7.798752834467123,-0.0277562358276644,0.1025612244897959
2017-18,Bam Adebayo,MIA,1628389,69,19.82876811594203,10,123.5,2017-10-18T00:00:00,2017-11-19T00:00:00,90.31506072874494,111.22323886639676,-20.908178137651817,89.88599190283401,110.08923076923077,-20.20323886639676,90.31506072874494,111.22323886639676,-20.908178137651817,0.08629878542510121,0.1269182186234818
2017-18,Ben Simmons,PHI,1627732,81,33.722880658436175,10,353,2017-10-18T00:00:00,2017-11-07T00:00:00,104.92898016997167,102.62654390934844,2.3024362606232245,104.51314447592068,102.534447592068,1.9786968838526775,104.92898016997167,102.62654390934844,2.3024362606232245,0.17303059490084988,0.2463869688385269
2017-18,Bogdan Bogdanović,SAC,203992,78,27.886602564102567,10,233.7,2017-10-23T00:00:00,2017-11-13T00:00:00,95.82263585793753,110.92511767222936,-15.102481814291835,93.8780487804878,111.58014548566538,-17.70209670517758,95.82263585793753,110.92511767222936,-15.102481814291835,0.08433119383825417,0.17857680787334188
2017-18,C.J. Williams,LAC,203710,38,18.592149122807026,10,96,2017-11-10T00:00:00,2017-12-03T00:00:00,90.49520833333332,115.8075,-25.31229166666668,91.36083333333333,117.70625,-26.345416666666665,90.49520833333332,115.8075,-25.31229166666668,0.1658375,0.136359375
2017-18,Cedi Osman,CLE,1626224,61,11.024480874316934,10,54.9,2017-10-20T00:00:00,2017-11-22T00:00:00,101.04389799635702,94.95409836065575,6.089799635701269,103.66885245901639,96.86612021857925,6.8027322404371375,101.04389799635702,94.95409836065575,6.089799635701269,0.11544990892531876,0.12219854280510019
2017-18,Damyean Dotson,NYK,1628422,44,10.774128787878796,10,68.9,2017-10-19T00:00:00,2017-11-20T00:00:00,90.85674891146589,84.2721335268505,6.58461538461539,88.07169811320755,88.01335268505079,0.058345428156755474,90.85674891146589,84.2721335268505,6.58461538461539,0.06983164005805516,0.15758635703918722
2017-18,Daniel Theis,BOS,1628464,63,14.851269841269842,10,126.9,2017-10-18T00:00:00,2017-11-06T00:00:00,115.4565011820331,106.93561859732071,8.520882584712382,118.17746256895192,107.91536643026004,10.262096138691888,115.4565011820331,106.93561859732071,8.520882584712382,0.06164066193853428,0.16254294720252166
2017-18,De'Aaron Fox,SAC,1628368,73,27.746986301369862,10,267.2,2017-10-18T00:00:00,2017-11-07T00:00:00,100.71931137724552,110.95913173652694,-10.239820359281424,99.75696107784431,112.37136976047906,-12.614408682634746,100.71931137724552,110.95913173652694,-10.239820359281424,0.09708383233532934,0.25549775449101797
2017-18,Dennis Smith Jr.,DAL,1628372,69,29.69717391304348,10,282.7,2017-10-18T00:00:00,2017-11-07T00:00:00,99.98800848956492,110.39904492394766,-10.411036434382737,99.62108241952599,112.60491687301027,-12.983834453484278,99.98800848956492,110.39904492394766,-10.411036434382737,0.08196144322603467,0.2834326140785285
2017-18,Dillon Brooks,MEM,1628415,82,28.65648373983744,10,288.8,2017-10-18T00:00:00,2017-11-05T00:00:00,105.64972299168974,93.23431440443213,12.415408587257616,104.31295013850416,93.02586565096952,11.287084487534642,105.64972299168974,93.23431440443213,12.415408587257616,0.05100831024930748,0.1506284626038781
2017-18,Donovan Mitchell,UTA,1628378,79,33.393797468354435,10,246.7,2017-10-18T00:00:00,2017-11-05T00:00:00,105.7080259424402,98.94665585731659,6.761370085123616,107.26607215241185,100.06364004864209,7.202432103769766,105.7080259424402,98.94665585731659,6.761370085123616,0.06400932306445076,0.2930133765707337
