SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MIN,MPG,OFF_RATING,DEF_RATING,NET_RATING,PIE,USG_PCT,IS_ROOKIE,PLAYER_TYPE
2024,Daniel Gafford,DAL,1629655,57,21.5,0.37719298245614036,114.9,113.4,1.5,0.141,0.186,FALSE,Veteran
2024,Darius Garland,CLE,1629636,75,30.7,0.4093333333333333,123.2,113.4,9.9,0.126,0.265,FALSE,Veteran
2024,Davion Mitchell,MIA,1630558,74,27.4,0.37027027027027026,111,110.7,0.3,0.069,0.135,FALSE,Veteran
2024,De'Aaron Fox,SAS,1628368,62,36.1,0.582258064516129,113.7,114.9,-1.2,0.119,0.274,FALSE,Veteran
2024,De'Andre Hunter,CLE,1629631,64,27.2,0.425,115.9,113.9,2,0.101,0.221,FALSE,Veteran
2024,DeMar DeRozan,SAC,201942,77,35.9,0.4662337662337662,116.8,115.3,1.5,0.112,0.244,FALSE,Veteran
2024,Dean Wade,CLE,1629731,59,21.2,0.3593220338983051,120,109.4,10.7,0.067,0.101,FALSE,Veteran
2024,Deni Avdija,POR,1630166,72,30,0.4166666666666667,113.6,114.5,-0.9,0.126,0.228,FALSE,Veteran
2024,Dennis Schröder,DET,203471,75,28.1,0.3746666666666667,111.8,112.8,-0.9,0.091,0.211,FALSE,Veteran
2024,Derrick Jones Jr.,LAC,1627884,77,24.3,0.3155844155844156,115.5,108.7,6.7,0.076,0.16,FALSE,Veteran
2024,Derrick White,BOS,1628401,76,33.9,0.44605263157894737,119.7,109.5,10.2,0.106,0.195,FALSE,Veteran
2024,Desmond Bane,ORL,1630217,69,32,0.463768115942029,116.1,113.3,2.8,0.131,0.227,FALSE,Veteran
2024,Devin Booker,PHX,1626164,75,37.3,0.4973333333333333,115.3,118.5,-3.2,0.122,0.285,FALSE,Veteran
2024,Devin Vassell,SAS,1630170,64,31,0.484375,111.9,118.1,-6.2,0.092,0.217,FALSE,Veteran
2024,Dillon Brooks,HOU,1628415,75,31.8,0.424,113.5,108.8,4.7,0.067,0.176,FALSE,Veteran
2024,Domantas Sabonis,SAC,1627734,70,34.7,0.4957142857142858,116.5,113.9,2.6,0.164,0.213,FALSE,Veteran
2024,Donovan Mitchell,CLE,1628378,71,31.4,0.44225352112676053,119.7,109.1,10.5,0.137,0.298,FALSE,Veteran
2024,Donte DiVincenzo,MIN,1628978,62,25.9,0.41774193548387095,114.2,109.1,5.1,0.1,0.188,FALSE,Veteran
2024,Dorian Finney-Smith,LAL,1627827,63,28.9,0.4587301587301587,119.1,110.3,8.8,0.06,0.123,FALSE,Veteran
2024,Draymond Green,GSW,203110,68,29.2,0.4294117647058823,115.4,108.8,6.6,0.088,0.157,FALSE,Veteran
2024,Duncan Robinson,MIA,1629130,74,24.1,0.3256756756756757,110.1,109.9,0.2,0.078,0.187,FALSE,Veteran
2024,Dyson Daniels,ATL,1630700,76,33.8,0.4447368421052631,113.3,114.2,-0.9,0.099,0.178,FALSE,Veteran
2024,Evan Mobley,CLE,1630596,71,30.5,0.4295774647887324,120.5,108.6,11.9,0.151,0.226,FALSE,Veteran
2024,Franz Wagner,ORL,1630532,60,33.7,0.5616666666666668,111.8,105.8,6,0.153,0.306,FALSE,Veteran
2024,Fred VanVleet,HOU,1627832,60,35.2,0.5866666666666667,115,108.8,6.2,0.093,0.176,FALSE,Veteran
2024,Gabe Vincent,LAL,1629216,72,21.2,0.29444444444444445,111.8,110.7,1.1,0.039,0.131,FALSE,Veteran
2024,Gary Trent Jr.,MIL,1629018,74,25.6,0.34594594594594597,115.9,114,1.9,0.07,0.168,FALSE,Veteran
2024,Georges Niang,ATL,1627777,79,21.5,0.2721518987341772,118.7,114.1,4.7,0.071,0.177,FALSE,Veteran
2024,Giannis Antetokounmpo,MIL,203507,67,34.2,0.5104477611940299,118.9,111.7,7.2,0.21,0.346,FALSE,Veteran
2024,Goga Bitadze,ORL,1629048,70,20.4,0.2914285714285714,110.1,107.4,2.7,0.134,0.142,FALSE,Veteran
2024,Gradey Dick,TOR,1641711,54,29.4,0.5444444444444444,110.3,116.1,-5.8,0.071,0.209,FALSE,Veteran
2024,Grayson Allen,PHX,1628960,64,24.1,0.3765625,114.7,118,-3.3,0.084,0.169,FALSE,Veteran
2024,Guerschon Yabusele,PHI,1627824,70,27.1,0.3871428571428572,113.5,116.7,-3.2,0.092,0.163,FALSE,Veteran
2024,Harrison Barnes,SAS,203084,82,27.2,0.33170731707317075,114.5,115.6,-1.2,0.092,0.157,FALSE,Veteran
2024,Haywood Highsmith,MIA,1629312,74,24.6,0.3324324324324325,111.8,110.4,1.4,0.057,0.111,FALSE,Veteran
2024,Isaiah Collier,UTA,1642268,71,25.9,0.36478873239436616,108.3,118.6,-10.4,0.077,0.186,TRUE,Rookie
2024,Isaiah Hartenstein,OKC,1628392,57,27.9,0.4894736842105263,118.3,105.3,13,0.138,0.165,FALSE,Veteran
2024,Isaiah Joe,OKC,1630198,74,21.7,0.29324324324324325,119.9,104.1,15.8,0.089,0.166,FALSE,Veteran
2024,Ivica Zubac,LAC,1627826,80,32.8,0.41,116.5,107.1,9.4,0.157,0.192,FALSE,Veteran
2024,Ja Morant,MEM,1629630,50,30.4,0.608,116.4,109.6,6.8,0.141,0.312,FALSE,Veteran
2024,Ja'Kobe Walter,TOR,1642266,52,21.2,0.4076923076923077,108.6,111.1,-2.4,0.068,0.179,TRUE,Rookie
2024,Jabari Smith Jr.,HOU,1631095,57,30.1,0.5280701754385965,113.4,106.1,7.3,0.093,0.16,FALSE,Veteran
2024,Jaden McDaniels,MIN,1630183,82,31.9,0.3890243902439024,113.9,109.9,4,0.086,0.16,FALSE,Veteran
2024,Jaime Jaquez Jr.,MIA,1631170,66,20.7,0.3136363636363636,107.9,113.9,-6,0.098,0.194,FALSE,Veteran
2024,Jake LaRavia,SAC,1631222,66,20.4,0.3090909090909091,115,111.2,3.8,0.081,0.14,FALSE,Veteran
2024,Jakob Poeltl,TOR,1627751,57,29.6,0.5192982456140351,111.2,111.9,-0.7,0.133,0.184,FALSE,Veteran
2024,Jalen Brunson,NYK,1628973,65,35.4,0.5446153846153846,118.3,115.7,2.6,0.138,0.289,FALSE,Veteran
2024,Jalen Duren,DET,1631105,78,26.1,0.33461538461538465,115.5,114,1.5,0.14,0.161,FALSE,Veteran
2024,Jalen Green,HOU,1630224,82,32.9,0.4012195121951219,113.8,111.1,2.8,0.111,0.267,FALSE,Veteran
2024,Jalen Williams,OKC,1631114,69,32.4,0.4695652173913043,116.7,106.5,10.2,0.138,0.27,FALSE,Veteran
2024,Jalen Wilson,BKN,1630592,79,25.7,0.32531645569620254,106.9,113.7,-6.7,0.065,0.161,FALSE,Veteran
2024,Jamal Murray,DEN,1627750,67,36.1,0.5388059701492538,122,115.5,6.5,0.111,0.235,FALSE,Veteran
2024,James Harden,LAC,201935,79,35.3,0.4468354430379746,115.4,109.2,6.2,0.145,0.286,FALSE,Veteran
2024,Jaren Jackson Jr.,MEM,1628991,74,29.8,0.4027027027027027,115.2,108.8,6.4,0.124,0.274,FALSE,Veteran
2024,Jarrett Allen,CLE,1628386,82,28,0.34146341463414637,121.9,111.3,10.5,0.148,0.156,FALSE,Veteran
2024,Jaylen Brown,BOS,1627759,63,34.3,0.5444444444444444,121.1,111.7,9.5,0.114,0.282,FALSE,Veteran
2024,Jaylen Wells,MEM,1642377,79,25.9,0.32784810126582276,116.7,111.9,4.7,0.065,0.156,TRUE,Rookie
2024,Jayson Tatum,BOS,1628369,72,36.4,0.5055555555555555,119.6,109.8,9.8,0.158,0.301,FALSE,Veteran
2024,Jeremy Sochan,SAS,1631110,54,25.3,0.46851851851851856,111.9,114.5,-2.7,0.101,0.184,FALSE,Veteran
2024,Jimmy Butler III,GSW,202710,55,31.7,0.5763636363636363,115.9,109.6,6.3,0.145,0.203,FALSE,Veteran
2024,Jonathan Mogbo,TOR,1642367,63,20.4,0.32380952380952377,103.7,111.9,-8.2,0.083,0.145,TRUE,Rookie
2024,Jordan Hawkins,NOP,1641722,56,23.6,0.42142857142857143,106.6,118.1,-11.4,0.066,0.204,FALSE,Veteran
2024,Jordan Poole,WAS,1629673,68,29.4,0.43235294117647055,104.8,117.9,-13.1,0.107,0.281,FALSE,Veteran
2024,Jose Alvarado,NOP,1630631,56,24.4,0.43571428571428567,108.4,117.1,-8.7,0.09,0.193,FALSE,Veteran
2024,Josh Giddey,CHI,1630581,70,30.2,0.43142857142857144,113.1,114.4,-1.4,0.13,0.214,FALSE,Veteran
2024,Josh Green,CHA,1630182,68,27.8,0.4088235294117647,105.3,114.2,-8.9,0.043,0.115,FALSE,Veteran
2024,Josh Hart,NYK,1628404,77,37.6,0.4883116883116883,117.9,114.3,3.6,0.119,0.151,FALSE,Veteran
2024,Jrue Holiday,BOS,201950,62,30.6,0.49354838709677423,116.6,107.7,8.9,0.088,0.156,FALSE,Veteran
2024,Julian Champagnie,SAS,1630577,82,23.6,0.2878048780487805,112.3,114.5,-2.1,0.079,0.164,FALSE,Veteran
2024,Julian Strawther,DEN,1631124,65,21.3,0.3276923076923077,111.9,114.4,-2.5,0.057,0.173,FALSE,Veteran
2024,Julius Randle,MIN,203944,69,32.3,0.4681159420289855,115,111.6,3.4,0.124,0.246,FALSE,Veteran
2024,Justin Champagnie,WAS,1630551,62,21.6,0.34838709677419355,107.1,116.8,-9.7,0.101,0.15,FALSE,Veteran
2024,Jusuf Nurkić,CHA,203994,51,20.8,0.40784313725490196,106.1,115.1,-9,0.116,0.202,FALSE,Veteran
2024,Karl-Anthony Towns,NYK,1626157,72,35,0.4861111111111111,119.4,112.7,6.8,0.161,0.265,FALSE,Veteran
2024,Keegan Murray,SAC,1631099,76,34.3,0.45131578947368417,114.8,113.4,1.5,0.075,0.148,FALSE,Veteran
2024,Kel'el Ware,MIA,1642276,64,22.2,0.346875,112.8,110.9,1.9,0.119,0.169,TRUE,Rookie
2024,Keldon Johnson,SAS,1629640,77,23.9,0.3103896103896104,110.1,115.9,-5.8,0.103,0.207,FALSE,Veteran
2024,Kelly Oubre Jr.,PHI,1626162,60,34.6,0.5766666666666667,110.7,116.4,-5.7,0.084,0.186,FALSE,Veteran
2024,Kentavious Caldwell-Pope,MEM,203484,77,29.6,0.38441558441558443,109.1,108.6,0.5,0.065,0.121,FALSE,Veteran
2024,Keon Ellis,SAC,1631165,80,24.4,0.305,116.1,113.2,3,0.073,0.125,FALSE,Veteran
2024,Keon Johnson,BKN,1630553,79,24.4,0.30886075949367087,104.1,114.4,-10.3,0.07,0.212,FALSE,Veteran
2024,Kevin Durant,PHX,201142,62,36.5,0.5887096774193549,116.5,117.4,-1,0.142,0.283,FALSE,Veteran
2024,Kevin Huerter,CHI,1628989,69,24.3,0.3521739130434783,114.5,111.7,2.8,0.073,0.171,FALSE,Veteran
2024,Keyonte George,UTA,1641718,67,31.5,0.4701492537313433,110.1,122,-11.9,0.093,0.237,FALSE,Veteran
2024,Klay Thompson,DAL,202691,72,27.3,0.37916666666666665,112.8,115.2,-2.4,0.083,0.214,FALSE,Veteran
2024,Kris Dunn,LAC,1627739,74,24.1,0.3256756756756757,113.8,106,7.8,0.07,0.126,FALSE,Veteran
2024,Kyle Filipowski,UTA,1642271,72,21.1,0.29305555555555557,107.7,118.9,-11.3,0.103,0.184,TRUE,Rookie
2024,Kyle Kuzma,MIL,1628398,65,29.8,0.4584615384615385,105.8,116.1,-10.3,0.08,0.233,FALSE,Veteran
2024,Kyrie Irving,DAL,202681,50,36.1,0.722,116.5,113.9,2.6,0.129,0.264,FALSE,Veteran
2024,Kyshawn George,WAS,1642273,68,26.5,0.3897058823529412,105.4,115.5,-10.1,0.058,0.156,TRUE,Rookie
2024,LeBron James,LAL,2544,70,34.9,0.49857142857142855,112.7,114,-1.3,0.169,0.291,FALSE,Veteran
2024,Luguentz Dort,OKC,1629652,71,29.2,0.4112676056338028,120.4,107.3,13.1,0.063,0.133,FALSE,Veteran
2024,Luka Dončić,LAL,1629029,50,35.4,0.708,119.6,110.5,9.1,0.17,0.328,FALSE,Veteran
2024,Luke Kennard,MEM,1628379,65,22.6,0.3476923076923077,117.6,114.5,3.1,0.093,0.14,FALSE,Veteran
2024,Malik Beasley,DET,1627736,82,27.8,0.33902439024390246,113.3,110.2,3.1,0.091,0.215,FALSE,Veteran
2024,Malik Monk,SAC,1628370,65,31.6,0.48615384615384616,117,114.5,2.5,0.099,0.236,FALSE,Veteran
2024,Max Christie,DAL,1631108,78,27.3,0.35000000000000003,112.6,114.3,-1.7,0.069,0.15,FALSE,Veteran
2024,Max Strus,CLE,1629622,50,25.5,0.51,120.1,112.2,7.9,0.083,0.143,FALSE,Veteran
2024,Michael Porter Jr.,DEN,1629008,77,33.7,0.4376623376623377,119.8,115.4,4.4,0.101,0.197,FALSE,Veteran
2024,Mikal Bridges,NYK,1628969,82,37,0.45121951219512196,118.4,112.9,5.6,0.09,0.192,FALSE,Veteran
2024,Mike Conley,MIN,201144,71,24.7,0.34788732394366195,115.5,109,6.5,0.092,0.141,FALSE,Veteran
2024,Miles Bridges,CHA,1628970,64,31.7,0.4953125,108.2,113.6,-5.5,0.135,0.273,FALSE,Veteran
