SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,PIE,USG_PCT,IS_ROOKIE,IS_TOP10_PICK,PLAYER_TYPE
2025,Chris Paul,LAC,101108,8,12.9,92.4,106.5,-14.2,0.076,0.132,FALSE,FALSE,Veteran
2025,Christian Braun,DEN,1631128,9,31.1,124,107.3,16.7,0.073,0.167,FALSE,FALSE,Veteran
2025,Cole Anthony,MIL,1630175,10,20.1,111.1,110.6,0.5,0.103,0.236,FALSE,FALSE,Veteran
2025,Collin Gillespie,PHX,1631221,11,23.9,116.3,112.3,3.9,0.114,0.183,FALSE,FALSE,Veteran
2025,Collin Murray-Boyles,TOR,1642867,8,20.9,102.6,110.8,-8.2,0.074,0.184,TRUE,FALSE,Other Rookie
2025,Collin Sexton,CHA,1629012,9,26.3,112.1,112.1,0,0.102,0.238,FALSE,FALSE,Veteran
2025,Cooper Flagg,DAL,1642843,11,32.7,99.7,111.9,-12.2,0.104,0.21,TRUE,FALSE,Other Rookie
2025,Corey Kispert,WAS,1630557,11,19.4,108.3,111.4,-3.1,0.089,0.139,FALSE,FALSE,Veteran
2025,Craig Porter Jr.,CLE,1641854,11,15.4,112.6,114.1,-1.5,0.082,0.119,FALSE,FALSE,Veteran
2025,D'Angelo Russell,DAL,1626156,11,21.1,104.8,111.8,-6.9,0.106,0.273,FALSE,FALSE,Veteran
2025,Dalton Knecht,LAL,1642261,10,18.2,102.8,116.2,-13.4,0.057,0.169,FALSE,FALSE,Veteran
2025,Daniel Gafford,DAL,1629655,6,20.2,101.6,110.5,-9,0.113,0.146,FALSE,FALSE,Veteran
2025,Daniss Jenkins,DET,1642450,6,13.4,108.6,106.3,2.3,0.123,0.181,FALSE,FALSE,Veteran
2025,Davion Mitchell,MIA,1630558,11,30.1,114.1,113.5,0.6,0.082,0.139,FALSE,FALSE,Veteran
2025,Day'Ron Sharpe,BKN,1630549,10,15.9,100.6,116.9,-16.3,0.114,0.176,FALSE,FALSE,Veteran
2025,De'Andre Hunter,CLE,1629631,8,29,118,111.7,6.3,0.108,0.251,FALSE,FALSE,Veteran
2025,DeMar DeRozan,SAC,201942,10,35.2,111.4,119.6,-8.1,0.111,0.214,FALSE,FALSE,Veteran
2025,Dean Wade,CLE,1629731,10,21.3,107.3,110.9,-3.6,0.059,0.104,FALSE,FALSE,Veteran
2025,Deandre Ayton,LAL,1629028,10,30.5,116.1,120.4,-4.3,0.108,0.2,FALSE,FALSE,Veteran
2025,Deni Avdija,POR,1630166,10,33.9,119.1,111.8,7.4,0.138,0.277,FALSE,FALSE,Veteran
2025,Dennis Schröder,SAC,203471,10,31.6,110.4,124.4,-14,0.08,0.205,FALSE,FALSE,Veteran
2025,Derik Queen,NOP,1642852,10,19.8,111.5,112.4,-0.9,0.101,0.227,TRUE,FALSE,Other Rookie
2025,Derrick Jones Jr.,LAC,1627884,10,25.3,118,124,-6,0.073,0.14,FALSE,FALSE,Veteran
2025,Derrick White,BOS,1628401,11,32.8,114.2,112.5,1.7,0.097,0.222,FALSE,FALSE,Veteran
2025,Desmond Bane,ORL,1630217,11,30.6,113.2,114.3,-1.1,0.083,0.213,FALSE,FALSE,Veteran
2025,Devin Booker,PHX,1626164,11,36,115,110.6,4.4,0.153,0.298,FALSE,FALSE,Veteran
2025,Devin Vassell,SAS,1630170,10,33,120.7,107,13.8,0.069,0.178,FALSE,FALSE,Veteran
2025,Dillon Brooks,PHX,1628415,5,29,111.9,117.4,-5.5,0.089,0.28,FALSE,FALSE,Veteran
2025,Domantas Sabonis,SAC,1627734,7,33.9,109.5,123.4,-13.9,0.114,0.21,FALSE,FALSE,Veteran
2025,Donovan Clingan,POR,1642270,10,24.7,106.9,104.5,2.4,0.109,0.116,FALSE,FALSE,Veteran
2025,Donovan Mitchell,CLE,1628378,10,33.8,123,107.5,15.5,0.176,0.3,FALSE,FALSE,Veteran
2025,Donte DiVincenzo,MIN,1628978,11,30.4,120.7,113.5,7.2,0.09,0.173,FALSE,FALSE,Veteran
2025,Draymond Green,GSW,203110,10,28.7,115.3,104,11.4,0.086,0.146,FALSE,FALSE,Veteran
2025,Drew Eubanks,SAC,1629234,10,15.8,115.6,113,2.6,0.067,0.17,FALSE,FALSE,Veteran
2025,Dru Smith,MIA,1630696,11,17.1,118.4,103.5,14.8,0.096,0.139,FALSE,FALSE,Veteran
2025,Duncan Robinson,DET,1629130,11,32.5,117.5,110.7,6.8,0.061,0.119,FALSE,FALSE,Veteran
2025,Dylan Harper,SAS,1642844,6,23.4,124.9,108.1,16.8,0.124,0.241,TRUE,FALSE,Other Rookie
2025,Dyson Daniels,ATL,1630700,11,33.6,117.7,114.2,3.5,0.084,0.144,FALSE,FALSE,Veteran
2025,Egor Dëmin,BKN,1642856,9,20.1,106.6,124,-17.4,0.072,0.152,TRUE,FALSE,Other Rookie
2025,Elijah Harkless,UTA,1641989,5,12.4,118.3,108.3,10,0.013,0.111,FALSE,FALSE,Veteran
2025,Evan Mobley,CLE,1630596,11,33.9,119.4,111,8.4,0.131,0.239,FALSE,FALSE,Veteran
2025,Franz Wagner,ORL,1630532,11,35,112.3,113.2,-0.9,0.13,0.236,FALSE,FALSE,Veteran
2025,Gary Trent Jr.,MIL,1629018,11,28.1,113.6,119,-5.4,0.057,0.157,FALSE,FALSE,Veteran
2025,Giannis Antetokounmpo,MIL,203507,10,32.9,123.9,115.3,8.7,0.229,0.353,FALSE,FALSE,Veteran
2025,Goga Bitadze,ORL,1629048,11,17,114.9,112.2,2.6,0.115,0.101,FALSE,FALSE,Veteran
2025,Gradey Dick,TOR,1641711,10,15.5,115.7,98.3,17.4,0.09,0.177,FALSE,FALSE,Veteran
2025,Grayson Allen,PHX,1628960,11,33.8,116.5,112.6,3.9,0.106,0.2,FALSE,FALSE,Veteran
2025,Harrison Barnes,SAS,203084,10,30.2,117.9,114,3.9,0.081,0.134,FALSE,FALSE,Veteran
2025,Herbert Jones,NOP,1630529,10,30,108.4,115.8,-7.4,0.061,0.146,FALSE,FALSE,Veteran
2025,Hugo González,BOS,1642864,9,13.6,115.1,104.3,10.8,0.049,0.109,TRUE,FALSE,Other Rookie
2025,Immanuel Quickley,TOR,1630193,10,31.4,114.3,114.6,-0.3,0.104,0.2,FALSE,FALSE,Veteran
2025,Isaac Okoro,CHI,1630171,10,23.8,114.4,118.4,-4,0.037,0.148,FALSE,FALSE,Veteran
2025,Isaiah Hartenstein,OKC,1628392,11,30.1,120.6,105.2,15.4,0.158,0.162,FALSE,FALSE,Veteran
2025,Isaiah Jackson,IND,1630543,10,18.4,107.3,112.8,-5.5,0.096,0.171,FALSE,FALSE,Veteran
2025,Isaiah Joe,OKC,1630198,6,24.6,119.5,100.6,18.9,0.099,0.215,FALSE,FALSE,Veteran
2025,Isaiah Stewart,DET,1630191,9,23,109.1,109.8,-0.7,0.116,0.177,FALSE,FALSE,Veteran
2025,Ivica Zubac,LAC,1627826,10,29.6,115.6,121.1,-5.4,0.136,0.202,FALSE,FALSE,Veteran
2025,Ja Morant,MEM,1629630,10,30.6,106.3,112.3,-6,0.11,0.311,FALSE,FALSE,Veteran
2025,Ja'Kobe Walter,TOR,1642266,7,11,99.4,113.3,-14,0.01,0.151,FALSE,FALSE,Veteran
2025,Jabari Smith Jr.,HOU,1631095,8,32.9,124.4,110.6,13.9,0.091,0.172,FALSE,FALSE,Veteran
2025,Jabari Walker,PHI,1631133,10,13.4,121.1,120.1,1.1,0.041,0.121,FALSE,FALSE,Veteran
2025,Jaden Hardy,DAL,1630702,10,10.5,104.7,98.7,6,0.053,0.2,FALSE,FALSE,Veteran
2025,Jaden McDaniels,MIN,1630183,11,31.7,120.3,113.5,6.8,0.106,0.213,FALSE,FALSE,Veteran
2025,Jaime Jaquez Jr.,MIA,1631170,11,29.8,116.9,100.7,16.2,0.165,0.208,FALSE,FALSE,Veteran
2025,Jake LaRavia,LAL,1631222,11,29.3,112.5,117.2,-4.7,0.087,0.15,FALSE,FALSE,Veteran
2025,Jakob Poeltl,TOR,1627751,6,22.9,115,122.7,-7.7,0.061,0.138,FALSE,FALSE,Veteran
2025,Jalen Brunson,NYK,1628973,9,33.4,124.6,112.1,12.5,0.138,0.313,FALSE,FALSE,Veteran
2025,Jalen Duren,DET,1631105,11,29,118.5,108.3,10.2,0.187,0.225,FALSE,FALSE,Veteran
2025,Jalen Johnson,ATL,1630552,9,32.3,107.6,117.7,-10.1,0.164,0.237,FALSE,FALSE,Veteran
2025,Jalen Smith,CHI,1630188,10,16,120,112.4,7.6,0.13,0.226,FALSE,FALSE,Veteran
2025,Jalen Suggs,ORL,1630591,8,20.7,119.7,101.9,17.8,0.147,0.207,FALSE,FALSE,Veteran
2025,Jalen Wilson,BKN,1630592,9,17.3,105,124.4,-19.3,0.035,0.157,FALSE,FALSE,Veteran
2025,Jamal Murray,DEN,1627750,8,33.2,122.2,108.4,13.9,0.143,0.264,FALSE,FALSE,Veteran
2025,Jamal Shead,TOR,1642347,10,17.4,114.9,110.1,4.9,0.101,0.145,FALSE,FALSE,Veteran
2025,James Harden,LAC,201935,9,34.9,119.7,120.4,-0.7,0.149,0.277,FALSE,FALSE,Veteran
2025,Jarace Walker,IND,1641716,10,30.1,106.6,115.5,-8.9,0.067,0.197,FALSE,FALSE,Veteran
