SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MPG,GAMES,MIN_TOTAL,FIRST_GAME,LAST_GAME,OFFRTG_AVG,DEFRTG_AVG,NETRTG_AVG,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,sp_work_OFF_RATING,sp_work_DEF_RATING,sp_work_NET_RATING,PIE_AVG,USG_PCT_AVG
2019-20,Admiral Schofield,WAS,1629678,33,11.163080808080819,10,76.4,2019-10-23T00:00:00,2019-12-10T00:00:00,102.96950261780104,95.12958115183245,7.839921465968587,103.68586387434554,93.2383507853403,10.447513089005241,102.96950261780104,95.12958115183245,7.839921465968587,0.23684554973821986,0.08959424083769632
2019-20,Anžejs Pasečņiks,WAS,1628394,27,16.18135802469137,10,208.5,2019-12-18T00:00:00,2020-01-04T00:00:00,116.7747242206235,107.57630695443645,9.19841726618705,115.2747242206235,108.62705035971224,6.6476738609112545,116.7747242206235,107.57630695443645,9.19841726618705,0.06449400479616307,0.1640613908872902
2019-20,Brandon Clarke,MEM,1629634,58,22.41413793103448,10,220.2,2019-10-23T00:00:00,2019-11-13T00:00:00,105.12988192552226,110.88051771117166,-5.750635785649408,104.88269754768392,109.64677565849229,-4.76407811080837,105.12988192552226,110.88051771117166,-5.750635785649408,0.14744096276112628,0.18857493188010901
2019-20,Bruno Fernando,ATL,1628981,56,12.72372023809523,10,112.6,2019-10-24T00:00:00,2019-11-12T00:00:00,110.39982238010658,104.14191829484902,6.2579040852575645,108.8404085257549,104.58321492007106,4.257193605683838,110.39982238010658,104.14191829484902,6.2579040852575645,0.10817761989342807,0.16785435168738902
2019-20,Cam Reddish,ATL,1629629,58,26.736982758620687,10,235.1,2019-10-24T00:00:00,2019-11-12T00:00:00,93.27286261165462,106.01365376435558,-12.740791152700965,92.22224585282859,105.81288813270949,-13.590642279880896,93.27286261165462,106.01365376435558,-12.740791152700965,0.026549978732454273,0.17864398128455977
2019-20,Cameron Johnson,PHX,1629661,57,22.024649122807016,10,172.7,2019-10-26T00:00:00,2019-11-18T00:00:00,93.27278517660683,104.03097857556456,-10.75819339895773,94.60220034742329,104.13178922987842,-9.52958888245513,93.27278517660683,104.03097857556456,-10.75819339895773,0.08609843659525189,0.18818760856977418
2019-20,Coby White,CHI,1629632,65,25.753846153846155,10,239.5,2019-10-23T00:00:00,2019-11-09T00:00:00,100.41820459290187,102.90208768267223,-2.4838830897703588,100.34977035490606,102.55707724425886,-2.2073068893528074,100.41820459290187,102.90208768267223,-2.4838830897703588,0.06559331941544885,0.2441858037578288
2019-20,Cody Martin,CHA,1628998,48,18.806145833333336,10,135,2019-10-25T00:00:00,2019-11-13T00:00:00,103.69207407407407,99.13696296296295,4.555111111111117,106.68118518518519,100.05385185185186,6.6273333333333255,103.69207407407407,99.13696296296295,4.555111111111117,0.07198592592592593,0.10863777777777778
2019-20,Daniel Gafford,CHI,1629655,43,14.164031007751928,10,100,2019-10-26T00:00:00,2019-11-27T00:00:00,84.9619,99.4,-14.438100000000006,84.887,102.7303,-17.8433,84.9619,99.4,-14.438100000000006,0.046917999999999994,0.132521
2019-20,Darius Bazley,OKC,1629647,61,18.515737704918035,10,179,2019-10-23T00:00:00,2019-11-10T00:00:00,89.39279329608938,90.9277094972067,-1.5349162011173263,90.85413407821228,90.65379888268157,0.20033519553071244,89.39279329608938,90.9277094972067,-1.5349162011173263,0.09868268156424581,0.13280670391061453
