team_id,team_name.x,gp,w,l,w_pct,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,season_type,team_abbreviation,team_logo,team_name.y,def_impact_base,defensive_impact,clutch_win_pct,off_rating_reg,def_rating_reg,net_rating_reg,delta_off,delta_def,delta_net,clutch_improvement,is_top_performer,is_bottom_performer,category
1610612754,Indiana Pacers,32,15,17,0.469,52,103.2,104.4,116.9,109.5,-13.7,-5,0.488,1.25,11,0.361,0.614,0.473,0.119,0.431,0.532,121.4,124.6,103.83,135,0.417,17,21,17,20,22,16,17,19,21,19,21,15,19,22,18,24,24,7,23,Regular Season,NA,NA,NA,10.5,2.75,0.46875,120.5,117.6,2.9,-16.099999999999994,8.099999999999994,-7.9,0.09999999999999698,FALSE,FALSE,Others
1610612746,LA Clippers,36,21,15,0.583,49,130.4,126.1,106.9,101.7,23.5,24.3,0.474,2,11.3,0.39,0.582,0.482,0.076,0.484,0.615,109.7,114.38,95.32,119,0.623,7,4,10,7,25,3,10,5,23,7,20,8,25,19,4,14,6,28,7,Regular Season,NA,NA,NA,18.299999999999997,21.299999999999997,0.5833333333333334,117.9,114.6,3.4,8.199999999999989,12.899999999999991,20.900000000000002,16.9,TRUE,FALSE,Top Performers
1610612747,Los Angeles Lakers,31,23,8,0.742,62,127.3,115.7,108.6,105.1,18.7,10.6,0.614,1.69,13.1,0.338,0.638,0.516,0.101,0.495,0.636,115.1,122.7,102.25,159,0.657,20,3,1,1,10,8,13,7,7,11,12,19,18,9,14,13,4,10,6,Regular Season,NA,NA,NA,14.900000000000006,12.750000000000004,0.7419354838709677,115.4,114.8,0.6,0.29999999999999716,9.700000000000003,10,9.850000000000001,FALSE,FALSE,Others
1610612763,Memphis Grizzlies,34,15,19,0.441,52,95.1,91.9,112.2,107.6,-17,-15.8,0.516,0.76,10,0.403,0.566,0.493,0.171,0.376,0.501,112.3,116.64,97.2,123,0.388,14,21,23,23,23,28,15,26,15,30,24,6,27,14,28,29,26,22,27,Regular Season,NA,NA,NA,12.400000000000006,-1.6999999999999975,0.4411764705882353,106.8,113.7,-6.9,-14.899999999999991,6.1000000000000085,-8.9,-1.399999999999996,FALSE,FALSE,Others
1610612748,Miami Heat,37,19,18,0.514,59,116.3,107.9,119.3,111.5,-3,-3.6,0.5,1.92,12.6,0.304,0.69,0.48,0.086,0.495,0.568,104.6,112.27,93.56,139,0.432,5,6,19,16,15,13,20,17,16,9,14,26,6,20,9,12,15,29,20,Regular Season,NA,NA,NA,8.5,2.45,0.5135135135135135,113.3,111.5,1.8,-5.3999999999999915,0,-5.4,-2.7,FALSE,FALSE,Others
1610612749,Milwaukee Bucks,36,20,16,0.556,59,121.9,115.9,123.8,114.5,-1.9,1.4,0.623,2.36,15,0.329,0.662,0.486,0.085,0.517,0.602,123.5,131.67,109.72,164,0.512,7,5,13,10,16,7,26,11,6,5,4,22,10,17,7,6,8,2,13,Regular Season,NA,NA,NA,5.5,3.45,0.5555555555555556,117.6,115,2.6,-1.6999999999999886,0.5,-1.2000000000000002,-0.3500000000000001,FALSE,FALSE,Others
1610612750,Minnesota Timberwolves,34,19,15,0.559,62,104.8,95.4,104.4,96.6,0.4,-1.2,0.605,1.44,13.3,0.294,0.75,0.541,0.119,0.481,0.556,106,115.61,96.34,151,0.536,14,6,10,9,11,26,3,15,9,15,10,28,2,6,19,16,20,24,10,Regular Season,NA,NA,NA,23.400000000000006,11.100000000000003,0.5588235294117647,114.6,108.4,6.3,-19.19999999999999,11.800000000000011,-7.5,2.1500000000000057,FALSE,FALSE,Others
1610612740,New Orleans Pelicans,27,14,13,0.519,39,111.5,103.9,115.3,103.1,-3.7,0.8,0.676,1.53,16.4,0.333,0.644,0.489,0.147,0.528,0.589,111.5,122.07,101.72,102,0.516,28,24,5,14,30,18,11,12,3,12,2,21,16,16,24,4,10,12,12,Regular Season,NA,NA,NA,16.900000000000006,8.850000000000003,0.5185185185185185,116.5,111.9,4.6,-12.599999999999994,8.800000000000011,-3.8,2.5000000000000058,FALSE,FALSE,Others
1610612752,New York Knicks,30,16,14,0.533,47,119.5,109.6,111.7,101.7,7.8,7.9,0.442,1.19,10.9,0.492,0.804,0.636,0.128,0.479,0.563,114.2,125.01,104.18,125,0.561,26,18,7,12,26,12,9,8,24,21,22,2,1,1,20,17,17,5,8,Regular Season,NA,NA,NA,18.299999999999997,13.099999999999998,0.5333333333333333,117.3,112.4,4.9,-7.700000000000003,10.700000000000003,3,6.850000000000001,FALSE,FALSE,Others
1610612760,Oklahoma City Thunder,31,19,12,0.613,56,139.1,131,107.1,103.5,32,27.5,0.429,2,12.8,0.352,0.603,0.496,0.083,0.617,0.701,116.1,121.75,101.45,145,0.712,20,6,3,5,18,1,12,3,26,7,13,18,24,13,6,1,1,14,3,Regular Season,NA,NA,NA,16.5,22,0.6129032258064516,118.3,111,7.3,12.700000000000003,7.5,20.2,13.85,FALSE,FALSE,Others
1610612753,Orlando Magic,31,18,13,0.581,54,103.9,96.2,115.2,108.7,-11.4,-12.6,0.424,1.08,8.4,0.368,0.5,0.431,0.1,0.387,0.507,106.9,114.4,95.34,130,0.407,20,12,5,8,20,24,16,25,27,22,28,13,29,28,12,28,25,27,25,Regular Season,NA,NA,NA,11.299999999999997,-0.6500000000000012,0.5806451612903226,112.9,110.8,2.2,-16.700000000000003,2.0999999999999943,-14.8,-6.350000000000003,FALSE,TRUE,Bottom Performers
1610612755,Philadelphia 76ers,35,18,17,0.514,54,126.5,119.9,131.5,116.1,-5,3.8,0.605,1.73,13.8,0.354,0.604,0.466,0.106,0.525,0.633,118,129.12,107.6,141,0.459,10,12,17,15,19,4,28,10,9,10,8,16,22,25,15,5,5,3,16,Regular Season,NA,NA,NA,3.9000000000000057,3.8500000000000028,0.5142857142857142,116.2,113,3.1,3.700000000000003,-3.0999999999999943,0.6999999999999997,-1.1999999999999973,FALSE,FALSE,Others
1610612756,Phoenix Suns,32,17,15,0.531,59,111.4,98.6,116,118.6,-4.6,-20,0.605,1.35,12.2,0.313,0.432,0.382,0.117,0.463,0.575,109.5,115.02,95.85,145,0.481,17,17,10,13,14,22,29,28,8,17,17,25,30,30,17,20,13,25,14,Regular Season,NA,NA,NA,1.4000000000000057,-9.299999999999997,0.53125,116.8,113.7,3.1,-18.200000000000003,-4.8999999999999915,-23.1,-13.999999999999996,FALSE,TRUE,Bottom Performers
1610612757,Portland Trail Blazers,34,16,18,0.471,63,109.1,104.4,107.3,100,1.8,4.4,0.491,0.84,11.8,0.541,0.679,0.614,0.195,0.483,0.556,113.7,120.33,100.28,159,0.545,14,18,19,19,9,17,7,9,20,26,18,1,7,2,30,15,19,17,9,Regular Season,NA,NA,NA,20,12.2,0.47058823529411764,107.6,116.6,-9,-3.1999999999999886,16.599999999999994,13.4,14.999999999999996,FALSE,FALSE,Others
1610612758,Sacramento Kings,36,18,18,0.5,71,97.6,92.7,102.7,99.4,-5.2,-6.7,0.365,0.83,8.1,0.392,0.66,0.524,0.129,0.426,0.491,114.8,119.75,99.79,178,0.423,7,12,19,17,2,27,6,21,30,27,30,7,12,7,21,25,28,18,22,Regular Season,NA,NA,NA,20.599999999999994,6.9499999999999975,0.5,116.2,114.4,1.8,-23.5,15,-8.5,3.25,FALSE,FALSE,Others
1610612759,San Antonio Spurs,35,10,25,0.286,66,102.7,96.8,122.9,114,-20.1,-17.2,0.698,1.2,14.1,0.38,0.653,0.513,0.158,0.446,0.539,114.7,122.65,102.21,158,0.349,10,28,30,28,5,23,25,27,2,20,6,11,13,11,25,22,22,11,28,Regular Season,NA,NA,NA,6,-5.6,0.2857142857142857,109.3,115.6,-6.4,-12.5,1.5999999999999943,-10.799999999999999,-4.600000000000002,FALSE,FALSE,Others
1610612761,Toronto Raptors,37,16,21,0.432,64,117,107,114.3,110.4,2.7,-3.5,0.5,1.53,11.4,0.405,0.721,0.57,0.099,0.471,0.574,117.2,124.67,103.89,172,0.533,5,18,24,25,7,14,19,16,16,13,19,5,5,4,11,19,14,6,11,Regular Season,NA,NA,NA,9.599999999999994,3.049999999999997,0.43243243243243246,111.8,118.1,-6.3,-4.799999999999997,7.699999999999989,2.8,5.249999999999995,FALSE,FALSE,Others
1610612762,Utah Jazz,28,12,16,0.429,53,99.2,96,107.8,100.8,-8.6,-4.8,0.559,0.9,10.8,0.459,0.672,0.56,0.167,0.411,0.492,109.2,114.69,95.57,126,0.437,27,27,13,26,21,25,8,18,11,25,23,3,8,5,27,27,27,26,18,Regular Season,NA,NA,NA,19.200000000000003,7.200000000000001,0.42857142857142855,114.5,119.6,-5.1,-18.5,18.799999999999997,0.2999999999999998,9.549999999999999,FALSE,FALSE,Others
1610612764,Washington Wizards,31,7,24,0.226,44,80.7,75.7,123,111.9,-42.3,-36.3,0.5,0.78,9.4,0.352,0.554,0.449,0.162,0.354,0.407,123.2,133.58,111.32,111,0.004,20,29,28,29,27,30,21,29,16,29,26,17,28,27,26,30,30,1,30,Regular Season,NA,NA,NA,8.099999999999994,-14.100000000000001,0.22580645161290322,110.2,118.9,-8.7,-34.5,7,-27.599999999999998,-10.299999999999999,FALSE,TRUE,Bottom Performers
