season,week,away,home,day_of_game,home_spread,score_away,score_home,spread_winner
2025,Week_07,IND,LAC,NA,-1.5,38,24,IND
2025,Week_07,GB,ARI,NA,6.5,27,23,ARI
2025,Week_07,WAS,DAL,NA,2.5,22,44,DAL
2025,Week_07,ATL,SF,NA,-2.5,10,20,SF
2025,Week_07,TB,DET,NA,-4.5,9,24,DET
2025,Week_07,HOU,SEA,NA,-2.5,19,27,SEA
2025,Week_08,MIN,LAC,NA,-3.5,10,37,LAC
2025,Week_08,MIA,ATL,NA,-7.5,34,10,MIA
2025,Week_08,CHI,BAL,NA,-6.5,16,30,BAL
2025,Week_08,BUF,CAR,NA,7.5,40,9,BUF
2025,Week_08,NYJ,CIN,NA,-6.5,39,38,NYJ
2025,Week_08,SF,HOU,NA,1.5,15,26,HOU
2025,Week_08,CLE,NE,NA,-7.5,13,32,NE
2025,Week_08,NYG,PHI,NA,-7.5,20,38,PHI
2025,Week_08,DAL,DEN,NA,-3.5,24,44,DEN
2025,Week_08,TEN,IND,NA,-14.5,14,38,IND
2025,Week_08,TB,NO,NA,5.5,23,3,TB
2025,Week_08,GB,PIT,NA,3.5,35,25,GB
2025,Week_08,WAS,KC,NA,-10.5,NA,NA,NA
